season,seasons_used,player,pWAR,rate,balls_eq,wb_ipl,wb_t20,bf,bb,source,rate_shrunk
2021,"2018,2019,2020",Khary Pierre,0.5133785925967763,-0.2567067292602375,51.45,0.0,343.0,,,T20I only,0.1411791129641135
2021,"2018,2019,2020",Khushdil Shah,0.5693506273751263,-0.0959444599616972,38.4,0.0,256.0,,,T20I only,0.15657142252815973
2021,"2018,2019,2020",Kieron Pollard,0.9272757122694348,0.2964950519888577,1426.8,1254.0,1152.0,876.0,378.0,IPL+T20I,0.2550008208740946
2021,"2018,2019,2020",Krishnappa Gowtham,0.38212291973866064,0.048407292881502,807.0,807.0,0.0,183.0,624.0,IPL only,0.10508380292813167
2021,"2018,2019,2020",Krunal Pandya,0.5289917714882909,0.138630021475985,2552.45,2429.0,823.0,733.0,1696.0,IPL+T20I,0.14547273715928
2021,"2018,2019,2020",Kuldeep Yadav,0.1395325806886195,-0.0470281928187256,1082.4,1026.0,376.0,103.0,923.0,IPL+T20I,0.03837145968937036
2021,"2018,2019,2020",Kulwant Khejroliya,0.651395853829018,0.2279106294410891,125.0,125.0,0.0,0.0,125.0,IPL only,0.17913385980297997
2021,"2018,2019,2020",Kusal Mendis,0.5698336142610254,0.0199003277953587,70.2,0.0,468.0,,,T20I only,0.15670424392178198
2021,"2018,2019,2020",Kusal Perera,0.5972556480990392,0.1196817442549813,97.05,0.0,647.0,,,T20I only,0.16424530322723577
2021,"2018,2019,2020",Kyle Jamieson,0.6758105074594181,0.478447267020599,36.9,0.0,246.0,,,T20I only,0.18584788955133996
2021,"2018,2019,2020",Kyle Jarvis,0.5763550007281086,0.0055989435672369,54.6,0.0,364.0,,,T20I only,0.15849762520022986
2021,"2018,2019,2020",Lahiru Kumara,0.5369082150997078,-0.1631060741931663,51.3,0.0,342.0,,,T20I only,0.14764975915241965
2021,"2018,2019,2020",Lakshan Sandakan,0.48057381551420036,-0.1214988879574464,105.6,0.0,704.0,,,T20I only,0.1321577992664051
2021,"2018,2019,2020",Lasith Malinga,0.21520655111161227,-0.055864877277633,676.85,542.0,899.0,0.0,542.0,IPL+T20I,0.05918180155569337
2021,"2018,2019,2020",Lendl Simmons,0.7385144377124286,0.5104493144881248,74.39999999999999,0.0,496.0,,,T20I only,0.20309147037091788
2021,"2018,2019,2020",Lewis Gregory,0.5715186870687313,-0.0883153874209552,37.8,0.0,252.0,,,T20I only,0.1571676389439011
