player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Moises Henriques,0.64,0.64,0.64,PBKS,Allrounder,4.2,0,1,sold,31.5,0.0,31.5,T20I only,0.0,0.0,,,,,31.5,0.64,0.0,0.64
Riley Meredith,0.0,0.0,0.0,PBKS,Bowler,8.0,0,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
M Shahrukh Khan,0.0,0.0,0.0,PBKS,Allrounder,5.25,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Jhye Richardson,0.0,0.0,0.0,PBKS,Allrounder,14.0,0,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Dawid Malan,0.764,0.76,0.76,PBKS,Batter,1.5,0,1,sold,183.75,0.0,183.75,T20I only,0.0,0.0,,,,,183.75,0.76,0.0,0.76
Ishan Porel,0.0,0.0,0.0,PBKS,Bowler,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Sarfaraz Khan,0.443,0.44,0.44,PBKS,Batter,0.25,0,0,retained,418.0,0.0,418.0,IPL only,213.0,2.0,5.5,,spin bowler,Lower,418.0,0.44,0.0,0.44
Nicholas Pooran,1.274,1.27,1.27,PBKS,WK-Batter,4.2,0,1,retained,913.15,0.0,913.15,IPL+T20I,315.0,0.0,4.0,,,Middle,913.15,1.27,0.0,1.27
Murugan Ashwin,0.454,0.45,0.45,PBKS,Bowler,0.2,0,0,retained,1043.0,0.0,1043.0,IPL only,11.0,447.0,9.0,Middle+Death,spin bowler,Tail,1043.0,0.45,0.0,0.45
Chris Gayle,1.008,1.01,1.01,PBKS,Batter,2.0,0,1,retained,1544.3,0.0,1544.3,IPL+T20I,781.0,5.0,2.0,,spin bowler,Opener,1544.3,1.01,0.0,1.01
Deepak Hooda,0.408,0.41,0.41,PBKS,Allrounder,0.5,0,0,retained,480.0,0.0,480.0,IPL only,215.0,38.0,6.0,Middle,spin bowler,Lower,480.0,0.41,0.0,0.41
Mohammed Shami,0.377,0.38,0.38,PBKS,Bowler,4.8,0,0,retained,1771.4,0.0,1771.4,IPL+T20I,11.0,749.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,1771.4,0.38,0.0,0.38
KL Rahul,1.243,1.24,1.24,PBKS,WK-Batter,11.0,0,0,retained,3083.7,0.0,3083.7,IPL+T20I,1373.0,0.0,1.0,,,Opener,3083.7,1.24,0.0,1.24
Mandeep Singh,0.514,0.51,0.51,PBKS,Batter,1.4,0,0,retained,777.0,0.0,777.0,IPL only,415.0,12.0,5.0,,pace bowler,Middle,777.0,0.51,0.0,0.51
Mayank Agarwal,1.463,1.46,1.46,PBKS,Batter,1.0,0,0,retained,1375.0,0.0,1375.0,IPL only,599.0,0.0,3.0,,,No3,1375.0,1.46,0.0,1.46
Chris Jordan,0.266,0.27,0.27,PBKS,Bowler,3.0,0,1,retained,892.8,0.0,892.8,IPL+T20I,31.0,227.0,7.5,Powerplay+Middle+Death,pace bowler,Lower,892.8,0.27,0.0,0.27
Ravi Bishnoi,0.538,0.54,0.54,PBKS,Bowler,2.0,0,0,retained,954.0,0.0,954.0,IPL only,12.0,318.0,8.5,Middle+Death,spin bowler,Tail,954.0,0.54,0.0,0.54
Harpreet Brar,0.401,0.4,0.4,PBKS,Allrounder,0.2,0,0,retained,156.0,0.0,156.0,IPL only,12.0,55.0,8.0,Middle,spin bowler,Lower,156.0,0.4,0.0,0.4
Simran Singh,0.0,0.0,0.0,PBKS,WK-Batter,0.55,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Darshan Nalkande,0.0,0.0,0.0,PBKS,Bowler,0.3,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Arshdeep Singh,0.376,0.38,0.38,PBKS,Bowler,0.2,0,0,retained,579.0,0.0,579.0,IPL only,3.0,223.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,579.0,0.38,0.0,0.38
Srikar Bharat,0.0,0.0,0.0,RCB,WK-Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Suyash Prabhudessai,0.0,0.0,0.0,RCB,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Daniel Christian,0.0,0.0,0.0,RCB,Allrounder,4.8,0,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Kyle Jamieson,0.676,0.68,0.68,RCB,Bowler,15.0,0,1,sold,36.9,0.0,36.9,T20I only,0.0,0.0,,,,,36.9,0.68,0.0,0.68
Mohammed Azharuddeen,0.0,0.0,0.0,RCB,WK-Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Rajat Patidar,0.0,0.0,0.0,RCB,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Sachin Baby,0.0,0.0,0.0,RCB,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Glenn Maxwell,0.392,0.39,0.39,RCB,Allrounder,14.25,0,1,sold,1078.65,0.0,1078.65,IPL+T20I,226.0,224.0,5.0,Powerplay+Middle,spin bowler,Middle,1078.65,0.39,0.0,0.39
