player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Daryl Mitchell,0.445,0.4,0,,Allrounder,2,1,1,unsold,259,989,483.3341463,IPL+T20I,223,36,3,Middle,pace bowler,No3,,0.57,-0.17,0.49
Shubham Dubey,0.435,0.44,0.49,RR,Batter,0.8,0,0,retained,280,0,280,IPL only,128,,7,,,Lower,152,0.42,0.02,0.43
Suyash Sharma,0.435,0.52,0.9,RCB,Bowler,2.6,0,0,retained,1233,0,1233,IPL only,,527,,Middle,spin bowler,,706,0.35,0.17,0.35
Venkatesh Iyer,0.395,0.4,0.41,RCB,Allrounder,7,1,0,sold,533,0,533,IPL only,365,6,4,Middle,pace bowler,Middle,162,0.39,0.01,0.39
Kamindu Mendis,0.39,0.39,0.24,SRH,Allrounder,0.75,1,1,retained,222,954,438.395122,IPL+T20I,69,42,5,Middle,spin bowler,Middle,111,0.46,-0.07,0.39
Matheesha Pathirana,0.385,0.29,-0.28,KKR,Bowler,18,1,1,sold,636,863,831.7536585,IPL+T20I,,384,,Death+Middle,pace bowler,,252,0.54,-0.25,0.48
Rahul Tewatia,0.37,0.38,0.45,GT,Allrounder,4,0,0,retained,457,0,457,IPL only,258,,6,,,Lower,199,0.35,0.03,0.36
Abishek Porel,0.355,0.31,0.12,DC,WK-Batter,4,0,0,retained,732,0,732,IPL only,449,,3,,,No3,283,0.39,-0.08,0.4
Devon Conway,0.32,0.34,0.35,,Batter,2,1,1,unsold,238,620,378.6341463,IPL+T20I,119,,2,,,Opener,119,0.34,0,0.3
Yash Raj Punja,0.305,0.3,0.3,RR,Bowler,0.3,0,0,sold,216,0,216,IPL only,,72,,Middle,spin bowler,,144,0.3,0,0.31
Manish Pandey,0.295,0.3,0.33,KKR,Batter,0.75,1,0,retained,161,0,161,IPL only,96,,7,,,Lower,65,0.28,0.02,0.29
Ashwani Kumar,0.295,0.36,0.67,MI,Batter,0.3,0,0,retained,448,0,448,IPL only,6,185,11,Death+Middle+Powerplay,pace bowler,Tail,257,0.22,0.14,0.23
Yash Dayal,0.28,0.24,0.06,RCB,Bowler,5,0,0,retained,916,0,916,IPL only,8,602,10,Death+Middle+Powerplay,pace bowler,Tail,306,0.31,-0.07,0.32
Kartik Sharma,0.46,0.01,0.12,CSK,WK-Batter,14.2,0,0,sold,420,0,420,IPL only,140,,4,,,Middle,280,-0.04,0.05,-0.04
Swapnil Singh,0.275,0.22,0,RCB,Bowler,0.5,0,0,retained,112,0,112,IPL only,21,91,8,Middle+Powerplay,spin bowler,Lower,,0.32,-0.1,0.33
Nathan Ellis,0.26,0.26,0.03,CSK,Bowler,2,1,1,retained,72,954,288.395122,T20I only,,48,,Death+Powerplay,pace bowler,,24,0.36,-0.1,0.26
Nitish Rana,0.255,0.33,0.67,DC,Batter,4.2,1,0,traded,825,0,825,IPL only,307,36,3,Middle+Powerplay,mixture/unknown,No3,482,0.18,0.15,0.18
Nishant Sindhu,0.25,0.25,0.27,GT,Allrounder,0.3,0,0,retained,75,0,75,thin,25,,4,,,Middle,50,0.24,0.01,0.25
Jake Fraser-McGurk,0.24,0.08,-0.64,,Batter,2,1,1,unsold,245,93,266.095122,IPL only,193,,2,,,Opener,52,0.39,-0.31,0.4
Raghu Sharma,0.23,0.24,0.31,MI,Bowler,0.3,0,0,retained,144,0,144,IPL only,,48,,Middle,spin bowler,,96,0.21,0.03,0.22
Shivang Kumar,0.22,-0.35,-0.43,SRH,Allrounder,0.3,0,0,sold,642,0,642,IPL only,22,192,9,Middle,spin bowler,Tail,428,-0.32,-0.03,-0.33
Salil Arora,0.215,0.23,0.36,SRH,WK-Batter,1.5,0,0,sold,216,0,216,IPL only,72,,6,,,Lower,144,0.17,0.06,0.17
Praful Hinge,0.21,0.32,0.83,SRH,Bowler,0.3,0,0,sold,375,0,375,IPL only,9,116,10,Death+Middle+Powerplay,pace bowler,Tail,250,0.1,0.22,0.1
Rahmanullah Gurbaz,0.21,0.21,-0.02,,WK-Batter,1.5,1,1,unsold,152,1243,433.9487805,IPL+T20I,99,,1,,,Opener,53,0.31,-0.1,0.21
