player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Harpreet Brar,191.0,-4.719279503283822,-0.024708269650700637,588.0,136.0841157104443,0.23143557093612976,779.0,131.3648362071605,0.16863265238403144,1.5923010449352788,779.0,0.6132096450328416,2023,2,False
Arshdeep Singh,96.0,-51.30037316213965,-0.5343788871056213,1558.0,329.19753545979444,0.2112949521564791,1654.0,277.8971622976548,0.1680152129973729,3.3684504520927856,1654.0,0.6109644108995379,2023,2,False
Mohammed Shami,37.0,-12.30915638532109,-0.33267990230597544,2057.0,357.9023239942354,0.17399237919019708,2094.0,345.5931676089143,0.16503971710072315,4.1890080922292645,2094.0,0.6001444258208115,2023,2,False
Venkatesh Iyer,1083.0,205.8836871543985,0.1901049742884566,176.0,1.1358410741586589,0.0064536424668105614,1259.0,207.01952822855716,0.16443171424031547,2.509327614891602,1259.0,0.5979335063284199,2023,2,False
Ayush Badoni,390.0,25.246936012722898,0.06473573336595614,36.0,43.89785356855837,1.2193848213488436,426.0,69.14478958128126,0.16231171263211563,0.838118661591288,426.0,0.5902244095713296,2023,2,False
Maheesh Theekshana,21.0,-1.3259135637278474,-0.0631387411298975,630.0,104.70958759773401,0.1662056945995778,651.0,103.38367403400616,0.15880748699540118,1.2531354428364383,651.0,0.577481770892368,2023,2,False
Marco Jansen,27.0,-13.684037701367412,-0.506816211161756,650.0,120.92946172864511,0.18604532573637708,677.0,107.24542402727769,0.15841273859272922,1.2999445336639721,677.0,0.576046322155379,2023,2,False
Nathan Coulter-Nile,31.0,1.5739126512940302,0.05077137584819452,455.0,74.151692668402,0.16297075311736706,486.0,75.72560531969603,0.15581400271542392,0.9178861250872246,486.0,0.5665963735106324,2023,2,False
Amit Mishra,0.0,0.0,0.0,229.0,35.31971806719816,0.15423457671265572,229.0,35.31971806719816,0.15423457671265572,0.4281177947539171,229.0,0.560853006227839,2023,2,False
Yuzvendra Chahal,81.0,-53.3575233722796,-0.6587348564478963,2205.0,404.22892467319673,0.18332377536199398,2286.0,350.8714013009171,0.1534870521876278,4.252986682435359,2286.0,0.5581347352277374,2023,2,False
Varun Chakravarthy,77.0,-20.322504603831277,-0.263928631218588,1845.0,312.8716983435085,0.16957815628374445,1922.0,292.5491937396772,0.15221081880316192,3.5460508332082084,1922.0,0.5534938865569524,2023,2,False
Matthew Wade,414.0,61.899407472380055,0.14951547698642526,0.0,0.0,0.0,414.0,61.899407472380055,0.14951547698642526,0.7502958481500612,414.0,0.543692643587001,2023,2,False
Darshan Nalkande,0.0,0.0,0.0,93.0,13.84943307394645,0.14891863520372528,93.0,13.84943307394645,0.14891863520372528,0.16787191604783577,93.0,0.5415223098317283,2023,2,False
Lockie Ferguson,63.0,15.304588148303703,0.2429299706079953,1345.0,191.02589409830549,0.14202668706193716,1408.0,206.3304822466092,0.1465415356865122,2.500975542383142,1408.0,0.5328783115873171,2023,2,False
Kagiso Rabada,190.0,11.225299891941695,0.05908052574706155,1947.0,298.51500147395933,0.15332049382329704,2137.0,309.740301365901,0.14494164780809593,3.754427895344255,2137.0,0.5270605374839852,2023,2,False
Manish Pandey,1045.0,150.17590313788443,0.14370899821807123,0.0,0.0,0.0,1045.0,150.17590313788443,0.14370899821807123,1.820313977428902,1045.0,0.5225781753384409,2023,2,False
Ravindra Jadeja,741.0,100.2045029666191,0.13522874894280582,1404.0,206.71516029802342,0.14723302015528733,2145.0,306.9196632646425,0.14308609010006643,3.7202383426017276,2145.0,0.5203130549093326,2023,2,False
Prasidh Krishna,42.0,-22.46049620385798,-0.5347737191394757,1791.0,282.13902110599156,0.15753155840647212,1833.0,259.6785249021336,0.14166858969019835,3.147618483662225,1833.0,0.5151585079643576,2023,2,False
Umran Malik,24.0,-10.749083610425483,-0.4478784837677285,1041.0,156.33720401812906,0.1501798309492114,1065.0,145.58812040770357,0.13670246047671697,1.7647044897903463,1065.0,0.4970998562789708,2023,2,False
Anrich Nortje,24.0,-16.966401673576716,-0.7069334030656965,1144.0,172.54994008515726,0.1508303672073053,1168.0,155.58353841158055,0.1332050842564902,1.8858610716555217,1168.0,0.4843821245690552,2023,2,False
Shahbaz Nadeem,10.0,-4.0773865572462,-0.40773865572462,183.0,29.18556063138457,0.1594839378764184,193.0,25.10817407413837,0.13009416618724542,0.30434150392894993,193.0,0.473069695226347,2023,2,False
Rishi Dhawan,120.0,-38.1642304848088,-0.3180352540400733,342.0,97.62956340330697,0.2854665596587923,462.0,59.46533291849818,0.12871284181493112,0.7207919141636143,462.0,0.4680466975088404,2023,2,False
Josh Philippe,77.0,9.557128479750514,0.1241185516850716,0.0,0.0,0.0,77.0,9.557128479750514,0.1241185516850716,0.1158439815727335,77.0,0.4513401879457149,2023,2,False
Simarjeet Singh,24.0,-1.7008960526311219,-0.07087066885963007,327.0,44.804883601712675,0.13701799266578799,351.0,43.10398754908155,0.12280338333071668,0.5224725763525037,351.0,0.4465577575662425,2023,2,False
Suresh Raina,256.0,30.691311889052205,0.11988793706661018,0.0,0.0,0.0,256.0,30.691311889052205,0.11988793706661018,0.37201590168548127,256.0,0.43595613478767337,2023,2,False
Sam Curran,199.0,76.93921547745413,0.3866292235047946,654.0,25.25275006373493,0.03861276768155188,853.0,102.19196554118906,0.11980300766845142,1.2386904914083523,853.0,0.43564730061255064,2023,2,False
Kuldeep Sen,9.0,-8.045936891585182,-0.8939929879539091,453.0,62.851951630771254,0.13874603009000278,462.0,54.80601473918607,0.11862773753070578,0.6643153301719523,462.0,0.43137359102074824,2023,2,False
Dwaine Pretorius,84.0,22.826640905435003,0.2717457250647024,378.0,30.096064088245903,0.0796192171646717,462.0,52.92270499368091,0.11455130951013184,0.6414873332567383,462.0,0.4165502164004794,2023,2,False
Tom Curran,96.0,32.34686388371835,0.3369464987887328,246.0,6.712577934172376,0.027286902171432426,342.0,39.05944181789073,0.11420889420435885,0.4734477796107967,342.0,0.41530506983403226,2023,2,False
Dushmantha Chameera,84.0,-6.478604943529419,-0.07712624932773118,798.0,105.8589738522982,0.13265535570463435,882.0,99.38036890876879,0.11267615522536144,1.2046105322275005,882.0,0.4097314735467689,2023,2,False
Pat Cummins,298.0,138.78962126331888,0.4657369841050969,991.0,4.740786710793543,0.004783841282334554,1289.0,143.53040797411242,0.11135020013507557,1.7397625208983323,1289.0,0.4049098186730021,2023,2,False
Chris Morris,119.0,-8.135000882464908,-0.06836135195348662,684.0,97.46992581879408,0.14249989154794457,803.0,89.33492493632917,0.11125146318347344,1.0828475749858082,803.0,0.40455077521263066,2023,2,False
Marcus Stoinis,699.0,202.9531561710067,0.290347862905589,440.0,-79.74861780292392,-0.1812468586430089,1139.0,123.20453836808278,0.10816904158743001,1.4933883438555489,1139.0,0.3933419694088365,2023,2,False
Wanindu Hasaranga de Silva,133.0,-77.63605430087183,-0.5837297315855026,1098.0,209.06588800112627,0.190406091075707,1231.0,131.42983370025445,0.10676672112124651,1.5930888933364176,1231.0,0.38824262225907824,2023,2,False
