prev_team,player,role,detail_role,sal,overseas,capped,bat_rate,bowl_rate,ipl_bf,ipl_bb,bat_rate_v,bowl_rate_v,bat_source,reliability_score,src,bat_pos,pos_source,kind,kind_source,bat_group,capped_new
,Nathan Smith,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior,7.0,LEAGUE,pace,LEAGUE,Lower,UNCAPPED
,Chintal Gandhi,Bowler,,,IN,UNCAPPED,-0.2418804000636766,0.156542315570694,,,-0.2418804000636766,0.156542315570694,Role Prior + SMAT,0.29,Role Prior + SMAT,,,,,,
,Irfan Umair,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior,,,,,,
,Connor Esterhuizen,WK-Batter,,,OS,UNCAPPED,0.1205175350921756,,,,0.1205175350921756,,Role Prior,0.0,Role Prior,3.0,LEAGUE,,,No3,UNCAPPED
,Tanay Thyagarajan,Allrounder,,,IN,UNCAPPED,0.0992251270959426,0.0847956972830213,,,0.0992251270959426,0.0847956972830213,Role Prior + SMAT,0.33,Role Prior + SMAT,,,,,,
,Dheeraj Kumar,Batter,,,IN,UNCAPPED,0.1342022615949562,,,,0.1342022615949562,,Role Prior,0.0,Role Prior,,,,,,
,Jhye Richardson,Bowler,,,OS,CAPPED,0.1080434582110229,0.0015208875105989,2.0,24.0,-0.3291443982816303,0.0965650443946324,Role Prior,,Role Prior,9.0,IPL,pace,IPL,Tail,CAPPED
,Alzarri Joseph,Bowler,,,OS,CAPPED,0.1038356046802758,-0.0607742390066841,12.0,202.0,0.120574643387331,-0.0607742390066841,T20I,0.67,IPL,10.0,IPL,pace,IPL,Tail,CAPPED
,Taskin Ahmed,Bowler,,,OS,CAPPED,0.1132985074816637,0.0840912906899385,,,0.1132985074816637,0.0840912906899385,T20I,0.7,T20I,9.0,T20I,pace,T20I,Tail,CAPPED
,Dan Lawrence,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior,4.0,LEAGUE,spin,LEAGUE,Middle,UNCAPPED
,Mohit Rathee,Bowler,,,IN,UNCAPPED,0.1173850778956773,0.0140397837374108,2.0,12.0,-0.3291443982816303,0.0851486342804605,Role Prior,0.27,Role Prior,11.0,IPL,spin,IPL,Tail,UNCAPPED
,KC Cariappa,Bowler,,,IN,UNCAPPED,-0.2111905834394477,0.1722806249203932,,,-0.2111905834394477,0.1722806249203932,Role Prior + SMAT,0.31,Role Prior + SMAT,,,,,,
,Tejas Baroka,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior,,,,,,
,KM Asif,Bowler,,,IN,UNCAPPED,0.1158050825039214,0.0038684658847333,2.0,85.0,-0.3291443982816303,0.1026964707161207,Role Prior,0.31,Role Prior,10.0,IPL,pace,IPL,Tail,UNCAPPED
,Waqar Salamkheil,Bowler,,,OS,CAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior,10.0,LEAGUE,spin,LEAGUE,Tail,UNCAPPED
,Chetan Sakariya,Bowler,,,IN,CAPPED,0.1087790821018339,-0.0526091052582171,6.0,67.0,-0.3291443982816303,0.069876175346172,Role Prior,0.3,Role Prior,10.0,IPL,pace,IPL,Tail,CAPPED
,Dasun Shanaka,Allrounder,,,OS,CAPPED,0.0906181393932936,0.0530082846589715,37.0,0.0,0.1681570782957215,0.0562452261489566,T20I,0.69,T20I,4.0,IPL,pace,T20I,Middle,CAPPED
,Daryl Mitchell,Allrounder,,,OS,CAPPED,0.1226104764150665,-0.0252624955160552,223.0,36.0,0.1226104764150665,0.109754511569231,IPL,0.69,IPL,3.0,IPL,pace,IPL,No3,CAPPED
,Sean Abbott,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0480963171245352,,,0.1212247809667457,0.0480963171245352,Role Prior,0.6,Role Prior,9.0,T20I,pace,T20I,Tail,CAPPED
,Sediqullah Atal,Batter,,,OS,CAPPED,0.1193430384952901,0.0530082846589715,16.0,0.0,0.1337831500921117,,T20I,0.66,T20I,4.0,IPL,,,Middle,CAPPED
,Kumar Kartikeya,Bowler,,,IN,UNCAPPED,0.0804734122034939,-0.0316500178576534,12.0,204.0,-0.3291443982816303,-0.0316500178576534,Role Prior,0.67,IPL,10.0,IPL,spin,IPL,Tail,UNCAPPED
,Karn Sharma,Bowler,,,IN,UNCAPPED,0.0960998363154464,0.0118791159763285,21.0,363.0,-0.3533137974926403,0.0118791159763285,Role Prior + SMAT,0.8,IPL,9.0,IPL,spin,IPL,Tail,UNCAPPED
,Shivam Shukla,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.1645520680027811,,,-0.253939941610228,0.1645520680027811,Role Prior,0.33,Role Prior,,,,,,
,Wahidullah Zadran,Bowler,,,OS,UNCAPPED,-0.253939941610228,0.156542315570694,,,-0.253939941610228,0.156542315570694,Role Prior,,Role Prior,,,,,,
,Simarjeet Singh,Bowler,,,IN,UNCAPPED,0.0523790355101265,-0.0164075635853532,7.0,133.0,-0.3455159267258916,-0.0164075635853532,Role Prior + SMAT,0.61,IPL,11.0,IPL,pace,IPL,Tail,UNCAPPED
,Raj Limbani,Bowler,,,IN,UNCAPPED,-0.253939941610228,0.1411903175963987,,,-0.253939941610228,0.1411903175963987,Role Prior,0.28,Role Prior,,,,,,
,Tushar Raheja,WK-Batter,,,IN,UNCAPPED,0.1322492087942918,,,,0.1322492087942918,,Role Prior + SMAT,0.25,Role Prior + SMAT,,,,,,
,Vansh Bedi,WK-Batter,,,IN,UNCAPPED,0.1205175350921756,,,,0.1205175350921756,,Role Prior,0.0,Role Prior,,,,,,
,Tanush Kotian,Allrounder,,,IN,UNCAPPED,0.0838285433008236,0.0530082846589715,31.0,0.0,0.1432595163862461,0.0825454543780975,Role Prior,0.34,Role Prior,2.0,IPL,,,Opener,UNCAPPED
,Eden Apple Tom,Allrounder,,,IN,UNCAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior,,,,,,
,Mahipal Lomror,Allrounder,,,IN,UNCAPPED,0.088842235264997,-0.016214339353067,165.0,18.0,0.088842235264997,0.109754511569231,IPL,0.64,IPL,5.0,IPL,spin,IPL,Middle,UNCAPPED
,Vijay Shankar,Allrounder,,,IN,UNCAPPED,0.1376069055597602,0.0530082846589715,351.0,0.0,0.1376069055597602,0.0697944128253414,IPL,0.79,IPL,4.0,IPL,,,Middle,UNCAPPED
,Aarya Desai,Batter,,,IN,UNCAPPED,0.1064296442530619,,,,0.1064296442530619,,Role Prior + SMAT,0.34,Role Prior + SMAT,,,,,,
,Yash Dhull,Batter,,,IN,UNCAPPED,0.0529713523577515,0.0530082846589715,23.0,0.0,0.1083806468435793,,Role Prior + SMAT,0.36,Role Prior + SMAT,5.0,IPL,,,Middle,UNCAPPED
,Abhinav Manohar,Batter,,,IN,UNCAPPED,-0.0428640251479981,0.0530082846589715,160.0,0.0,-0.0428640251479981,,IPL,0.63,IPL,6.0,IPL,,,Lower,UNCAPPED
,Abhinav Tejrana,Batter,,,IN,UNCAPPED,0.1340293927970564,,,,0.1340293927970564,,Role Prior + SMAT,0.26,Role Prior + SMAT,,,,,,
,Anmolpreet Singh,Batter,,,IN,UNCAPPED,0.050628118437522,0.0530082846589715,88.0,0.0,0.1218030309231966,,Role Prior + SMAT,0.35,Role Prior + SMAT,1.0,IPL,,,Opener,UNCAPPED
,Mujeeb Ur Rahman,Bowler,,,OS,CAPPED,0.1216510655589099,-0.017926703799001,0.0,12.0,-0.253939941610228,0.0880870499750496,Role Prior,0.7,Role Prior,9.0,T20I,spin,IPL,Tail,CAPPED
,Maheesh Theekshana,Bowler,,,OS,CAPPED,-0.0049850397987038,-0.0777751991237702,27.0,668.0,0.0935634116378391,-0.0777751991237702,T20I,1.0,IPL,9.0,IPL,spin,IPL,Tail,CAPPED
,Fazalhaq Farooqi,Bowler,,,OS,CAPPED,0.1007371852509576,-0.2188102976530136,7.0,182.0,-0.3291443982816303,-0.2188102976530136,Role Prior,0.65,IPL,11.0,IPL,pace,IPL,Tail,CAPPED
,Gerald Coetzee,Bowler,,,OS,CAPPED,0.0192295043662218,-0.0355794211423275,33.0,274.0,0.1377070632847372,-0.0355794211423275,T20I,0.73,IPL,9.0,IPL,pace,IPL,Tail,CAPPED
,Rahmanullah Gurbaz,WK-Batter,,,OS,CAPPED,-0.0691620284849892,0.0530082846589715,269.0,0.0,-0.0691620284849892,,IPL,0.72,IPL,1.0,IPL,,,Opener,CAPPED
,Jonny Bairstow,WK-Batter,,,OS,CAPPED,0.169180886058483,0.0530082846589715,241.0,0.0,0.169180886058483,,IPL,0.7,IPL,2.0,IPL,,,Opener,CAPPED
,Srikar Bharat,WK-Batter,,,IN,CAPPED,0.1205175350921756,,,,0.1205175350921756,,Role Prior,0.0,Role Prior,,,,,,
,Wiaan Mulder,Allrounder,,,OS,CAPPED,0.0925179559075386,0.025990077073446,11.0,6.0,-0.3291443982816303,0.0697944128253414,Role Prior,,Role Prior,9.0,IPL,pace,T20I,Tail,CAPPED
,Gus Atkinson,Allrounder,,,OS,CAPPED,0.1212247809667457,0.0697944128253414,,,0.1212247809667457,0.0697944128253414,Role Prior,,Role Prior,8.0,T20I,pace,T20I,Lower,CAPPED
,Devon Conway,Batter,,,OS,CAPPED,0.0971614411807576,0.0530082846589715,600.0,0.0,0.0971614411807576,,IPL,1.0,IPL,2.0,IPL,,,Opener,CAPPED
